iter	Passed	Remaining
0	45	17595
1	90	17436
2	141	18184
3	187	17974
4	233	17890
5	279	17784
6	315	17166
7	360	17111
8	407	17173
9	454	17175
10	498	17070
11	531	16640
12	597	17227
13	641	17124
14	687	17084
15	730	16991
16	779	17010
17	841	17290
18	888	17262
19	934	17198
20	967	16913
21	1013	16853
22	1060	16828
23	1106	16776
24	1154	16763
25	1196	16659
26	1231	16464
27	1277	16427
28	1330	16467
29	1368	16336
30	1407	16203
31	1450	16139
32	1498	16116
33	1548	16125
34	1593	16067
35	1639	16034
36	1685	15993
37	1734	15975
38	1783	15962
39	1818	15819
40	1858	15729
41	1910	15741
42	1950	15649
43	1998	15620
44	2031	15483
45	2078	15450
46	2121	15394
47	2156	15276
48	2217	15344
49	2264	15305
50	2309	15264
51	2360	15249
52	2404	15201
53	2449	15152
54	2514	15221
55	2559	15176
56	2603	15121
57	2637	15007
58	2683	14963
59	2727	14907
60	2765	14822
61	2807	14761
62	2839	14648
63	2884	14601
64	2933	14578
65	2981	14546
66	3029	14515
67	3075	14470
68	3112	14389
69	3156	14338
70	3201	14296
71	3248	14255
72	3293	14212
73	3326	14116
74	3372	14073
75	3416	14026
76	3467	14004
77	3513	13962
78	3557	13915
79	3607	13888
80	3652	13842
81	3697	13798
82	3746	13768
83	3795	13736
84	3837	13678
85	3888	13654
86	3934	13611
87	3969	13530
88	4012	13479
89	4060	13445
90	4109	13412
91	4171	13422
92	4205	13340
93	4248	13286
94	4294	13245
95	4361	13265
96	4405	13216
97	4452	13176
98	4485	13094
99	4532	13053
100	4590	13044
101	4626	12972
102	4680	12949
103	4718	12885
104	4765	12844
105	4826	12840
106	4886	12833
107	4921	12759
108	4968	12717
109	5014	12672
110	5047	12596
111	5093	12550
112	5138	12505
113	5172	12431
114	5216	12382
115	5252	12315
116	5295	12266
117	5340	12220
118	5377	12156
119	5420	12104
120	5464	12058
121	5516	12027
122	5560	11980
123	5605	11934
124	5650	11887
125	5684	11819
126	5728	11772
127	5776	11734
128	5823	11691
129	5867	11644
130	5898	11571
131	5930	11501
132	5966	11440
133	6013	11398
134	6057	11351
135	6108	11319
136	6152	11272
137	6197	11227
138	6234	11168
139	6277	11119
140	6321	11073
141	6370	11036
142	6415	10991
143	6449	10928
144	6495	10885
145	6540	10841
146	6590	10804
147	6636	10762
148	6680	10716
149	6715	10654
150	6760	10610
151	6803	10563
152	6839	10505
153	6880	10455
154	6931	10419
155	6962	10355
156	7025	10337
157	7069	10290
158	7120	10255
159	7162	10206
160	7223	10185
161	7253	10118
162	7280	10050
163	7316	9993
164	7349	9933
165	7411	9911
166	7449	9858
167	7492	9811
168	7522	9748
169	7547	9679
170	7586	9627
171	7634	9587
172	7681	9546
173	7730	9507
174	7776	9464
175	7821	9421
176	7852	9361
177	7886	9303
178	7932	9261
179	8011	9257
180	8080	9240
181	8124	9195
182	8166	9147
183	8213	9105
184	8273	9078
185	8321	9036
186	8357	8982
187	8389	8925
188	8448	8895
189	8496	8854
190	8540	8808
191	8606	8785
192	8653	8743
193	8708	8708
194	8773	8683
195	8819	8639
196	8862	8592
197	8894	8535
198	8945	8496
199	8992	8452
200	9035	8406
201	9084	8364
202	9145	8334
203	9192	8291
204	9240	8249
205	9287	8205
206	9333	8161
207	9381	8118
208	9426	8073
209	9460	8018
210	9503	7972
211	9550	7928
212	9614	7899
213	9662	7856
214	9710	7813
215	9771	7781
216	9818	7736
217	9865	7693
218	9898	7638
219	9930	7583
220	9976	7538
221	10025	7496
222	10073	7453
223	10114	7404
224	10148	7352
225	10189	7303
226	10225	7252
227	10284	7217
228	10330	7172
229	10378	7129
230	10427	7087
231	10475	7044
232	10518	6997
233	10568	6955
234	10615	6911
235	10662	6867
236	10706	6821
237	10766	6785
238	10812	6740
239	10850	6691
240	10909	6654
241	10955	6609
242	10989	6557
243	11031	6510
244	11078	6466
245	11117	6417
246	11176	6379
247	11223	6335
248	11265	6288
249	11317	6246
250	11364	6202
251	11408	6156
252	11441	6105
253	11486	6059
254	11537	6017
255	11583	5972
256	11631	5928
257	11673	5882
258	11725	5840
259	11771	5795
260	11814	5749
261	11851	5699
262	11895	5653
263	11955	5615
264	12000	5570
265	12049	5526
266	12096	5482
267	12143	5437
268	12190	5392
269	12240	5349
270	12276	5300
271	12309	5249
272	12362	5207
273	12410	5163
274	12454	5117
275	12500	5072
276	12561	5033
277	12609	4989
278	12639	4938
279	12672	4887
280	12718	4843
281	12766	4798
282	12813	4754
283	12877	4715
284	12925	4671
285	12971	4626
286	13014	4580
287	13076	4540
288	13127	4497
289	13173	4451
290	13218	4406
291	13266	4361
292	13313	4316
293	13360	4271
294	13407	4226
295	13441	4177
296	13482	4131
297	13527	4085
298	13575	4040
299	13627	3997
300	13672	3951
301	13732	3910
302	13779	3865
303	13839	3823
304	13888	3779
305	13938	3735
306	13982	3689
307	14030	3644
308	14064	3595
309	14110	3550
310	14157	3505
311	14202	3459
312	14248	3414
313	14293	3368
314	14355	3326
315	14402	3281
316	14449	3236
317	14499	3191
318	14540	3145
319	14572	3096
320	14613	3050
321	14653	3003
322	14700	2958
323	14746	2912
324	14794	2867
325	14839	2822
326	14888	2777
327	14930	2731
328	14964	2683
329	15014	2638
330	15055	2592
331	15104	2547
332	15147	2501
333	15195	2456
334	15243	2411
335	15291	2366
336	15339	2321
337	15389	2276
338	15425	2229
339	15457	2182
340	15527	2140
341	15561	2093
342	15605	2047
343	15653	2002
344	15699	1956
345	15744	1911
346	15789	1865
347	15842	1820
348	15885	1775
349	15947	1731
350	15979	1684
351	16025	1638
352	16070	1593
353	16119	1548
354	16167	1502
355	16215	1457
356	16258	1411
357	16304	1366
358	16366	1322
359	16412	1276
360	16460	1231
361	16492	1184
362	16525	1138
363	16570	1092
364	16605	1046
365	16651	1000
366	16681	954
367	16730	909
368	16776	863
369	16808	817
370	16854	772
371	16900	726
372	16952	681
373	16994	636
374	17041	590
375	17086	545
376	17121	499
377	17166	454
378	17218	408
379	17265	363
380	17309	318
381	17357	272
382	17416	227
383	17462	181
384	17511	136
385	17555	90
386	17600	45
387	17631	0
